pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
pop1	NC_091013.1	1	1000000	0.0033368382137593	624843	2085	624843	0
pop1	NC_091013.1	1000001	2000000	0.0048197990487973	752521	3627	752521	0
pop1	NC_091013.1	2000001	3000000	0.0048075157496219	898593	4320	898593	0
pop1	NC_091013.1	3000001	4000000	0.0051670530822162	913093	4718	913093	0
pop1	NC_091013.1	4000001	5000000	0.0048455018690092	955319	4629	955319	0
pop1	NC_091013.1	5000001	6000000	0.004574386105687	974557	4458	974557	0
pop1	NC_091013.1	6000001	7000000	0.0042717140304138	969166	4140	969166	0
pop1	NC_091013.1	7000001	8000000	0.0040285432261249	972560	3918	972560	0
pop1	NC_091013.1	8000001	9000000	0.0046563312421997	964708	4492	964708	0
pop1	NC_091013.1	9000001	10000000	0.0046174081237911	969375	4476	969375	0
pop1	NC_091013.1	10000001	11000000	0.0048678208085269	977234	4757	977234	0
pop1	NC_091013.1	11000001	12000000	0.0044216252381714	962542	4256	962542	0
pop1	NC_091013.1	12000001	13000000	0.004836679045697	948378	4587	948378	0
pop1	NC_091013.1	13000001	14000000	0.0036857416005156	975923	3597	975923	0
pop1	NC_091013.1	14000001	15000000	0.0035236009352438	973436	3430	973436	0
pop1	NC_091013.1	15000001	16000000	0.0037470063626874	982918	3683	982918	0
pop1	NC_091013.1	16000001	17000000	0.003660066529712	965283	3533	965283	0
pop1	NC_091013.1	17000001	18000000	0.0037349282467468	952361	3557	952361	0
pop1	NC_091013.1	18000001	19000000	0.0040084106813152	959732	3847	959732	0
pop1	NC_091013.1	19000001	20000000	0.0040447093037504	979304	3961	979304	0
pop1	NC_091013.1	20000001	21000000	0.0032385998302513	972025	3148	972025	0
pop1	NC_091013.1	21000001	22000000	0.0037721899533531	979272	3694	979272	0
pop1	NC_091013.1	22000001	23000000	0.0029380670350532	967643	2843	967643	0
pop1	NC_091013.1	23000001	24000000	0.0030978665343587	967440	2997	967440	0
pop1	NC_091013.1	24000001	25000000	0.003384924870679	974320	3298	974320	0
pop1	NC_091013.1	25000001	26000000	0.0029461206168005	976199	2876	976199	0
pop1	NC_091013.1	26000001	27000000	0.0035774402028221	962420	3443	962420	0
pop1	NC_091013.1	27000001	28000000	0.0030483872132849	969037	2954	969037	0
pop1	NC_091013.1	28000001	29000000	0.0037689777090699	959942	3618	959942	0
pop1	NC_091013.1	29000001	30000000	0.0021719227946767	979777	2128	979777	0
pop1	NC_091013.1	30000001	31000000	0.0025695835252521	979147	2516	979147	0
pop1	NC_091013.1	31000001	32000000	0.0024773239929657	965558	2392	965558	0
pop1	NC_091013.1	32000001	33000000	0.0028011489596459	982454	2752	982454	0
pop1	NC_091013.1	33000001	34000000	0.0032023839853653	957724	3067	957724	0
pop1	NC_091013.1	34000001	35000000	0.0027755587382598	978902	2717	978902	0
pop1	NC_091013.1	35000001	36000000	0.0034311003640477	974323	3343	974323	0
pop1	NC_091013.1	36000001	37000000	0.0027548433979052	981181	2703	981181	0
pop1	NC_091013.1	37000001	38000000	0.0034000117419369	970879	3301	970879	0
pop1	NC_091013.1	38000001	39000000	0.0034240284654615	969034	3318	969034	0
pop1	NC_091013.1	39000001	40000000	0.0028081688833995	976437	2742	976437	0
pop1	NC_091013.1	40000001	41000000	0.0032172687307405	979713	3152	979713	0
pop1	NC_091013.1	41000001	42000000	0.003365179858472	976768	3287	976768	0
pop1	NC_091013.1	42000001	43000000	0.0032630892851056	968101	3159	968101	0
pop1	NC_091013.1	43000001	44000000	0.0034978588399177	977741	3420	977741	0
pop1	NC_091013.1	44000001	45000000	0.0044005552267089	964651	4245	964651	0
pop1	NC_091013.1	45000001	46000000	0.0043255126582079	953413	4124	953413	0
pop1	NC_091013.1	46000001	47000000	0.0044656357099657	952384	4253	952384	0
pop1	NC_091013.1	47000001	48000000	0.0042213669464996	963432	4067	963432	0
pop1	NC_091013.1	48000001	49000000	0.0046241789644508	974227	4505	974227	0
pop1	NC_091013.1	49000001	50000000	0.0031524452637989	955766	3013	955766	0
pop1	NC_091013.1	50000001	51000000	0.003403314282432	974932	3318	974932	0
pop1	NC_091013.1	51000001	52000000	0.0032618116888221	979517	3195	979517	0
pop1	NC_091013.1	52000001	53000000	0.0025583103708631	978771	2504	978771	0
pop1	NC_091013.1	53000001	54000000	0.004098352234316	973318	3989	973318	0
pop1	NC_091013.1	54000001	55000000	0.0033187687071138	976567	3241	976567	0
pop1	NC_091013.1	55000001	56000000	0.0039531489356867	968089	3827	968089	0
pop1	NC_091013.1	56000001	57000000	0.0047054740899411	968234	4556	968234	0
pop1	NC_091013.1	57000001	58000000	0.0031132862604451	80301	250	80301	0
pop1	NC_091013.1	58000001	59000000	0.0032535279087624	461038	1500	461038	0
pop1	NC_091013.1	59000001	60000000	0.0031355713145798	978769	3069	978769	0
pop1	NC_091013.1	60000001	61000000	0.0037638117242268	962588	3623	962588	0
pop1	NC_091013.1	61000001	62000000	0.0031561412350109	974291	3075	974291	0
pop1	NC_091013.1	62000001	63000000	0.0028751267466115	983261	2827	983261	0
pop1	NC_091013.1	63000001	64000000	0.0033788630950673	975772	3297	975772	0
pop1	NC_091013.1	64000001	65000000	0.0036597559682135	971103	3554	971103	0
pop1	NC_091013.1	65000001	66000000	0.0031531976125047	962515	3035	962515	0
pop1	NC_091013.1	66000001	67000000	0.0030778289539839	964641	2969	964641	0
pop1	NC_091013.1	67000001	68000000	0.0032907770309763	966641	3181	966641	0
pop1	NC_091013.1	68000001	69000000	0.0041794654883538	974048	4071	974048	0
pop1	NC_091013.1	69000001	70000000	0.0029328138431255	983015	2883	983015	0
pop1	NC_091013.1	70000001	71000000	0.0033321512857824	981348	3270	981348	0
pop1	NC_091013.1	71000001	72000000	0.0035527953641435	969659	3445	969659	0
pop1	NC_091013.1	72000001	73000000	0.0041032791476956	978242	4014	978242	0
pop1	NC_091013.1	73000001	74000000	0.0032275797217494	565749	1826	565749	0
pop1	NC_091013.1	74000001	75000000	0.0037608844350508	422507	1589	422507	0
pop1	NC_091013.1	75000001	76000000	0.0036411767076282	967819	3524	967819	0
pop1	NC_091013.1	76000001	77000000	0.0031896263315064	968452	3089	968452	0
pop1	NC_091013.1	77000001	78000000	0.0037163100147048	972470	3614	972470	0
pop1	NC_091013.1	78000001	79000000	0.0036158173561283	975713	3528	975713	0
pop1	NC_091013.1	79000001	80000000	0.0039074237964888	971740	3797	971740	0
pop1	NC_091013.1	80000001	81000000	0.0040166585197348	979919	3936	979919	0
pop1	NC_091013.1	81000001	82000000	0.0041637391456862	963557	4012	963557	0
pop1	NC_091013.1	82000001	83000000	0.0038712360980411	971266	3760	971266	0
pop1	NC_091013.1	83000001	84000000	0.004439672946515	550491	2444	550491	0
pop1	NC_091013.1	84000001	85000000	0.003832572560503	789548	3026	789548	0
pop1	NC_091013.1	85000001	86000000	0.0044045831556876	971034	4277	971034	0
pop1	NC_091013.1	86000001	87000000	0.0045379976098436	969811	4401	969811	0
pop1	NC_091013.1	87000001	88000000	0.0041183895314392	970525	3997	970525	0
pop1	NC_091013.1	88000001	89000000	0.0043994815446521	974433	4287	974433	0
pop1	NC_091013.1	89000001	90000000	0.0038955152574348	979588	3816	979588	0
pop1	NC_091013.1	90000001	91000000	0.0039526346068681	966444	3820	966444	0
pop1	NC_091013.1	91000001	92000000	0.0049727942553984	971486	4831	971486	0
pop1	NC_091013.1	92000001	93000000	0.0042566702954602	837744	3566	837744	0
pop1	NC_091013.1	93000001	94000000	0.0045542006688752	950551	4329	950551	0
pop1	NC_091013.1	94000001	95000000	0.0043852432629644	978509	4291	978509	0
pop1	NC_091013.1	95000001	96000000	0.0041534410450754	964983	4008	964983	0
pop1	NC_091013.1	96000001	97000000	0.0042304334758181	974841	4124	974841	0
pop1	NC_091013.1	97000001	98000000	0.0038277226643746	972641	3723	972641	0
pop1	NC_091013.1	98000001	99000000	0.0040469018182862	975314	3947	975314	0
pop1	NC_091013.1	99000001	100000000	0.0039595884241473	975859	3864	975859	0
pop1	NC_091013.1	100000001	101000000	0.0044183206511166	981821	4338	981821	0
pop1	NC_091013.1	101000001	102000000	0.0048008833378139	970863	4661	970863	0
pop1	NC_091013.1	102000001	103000000	0.0045041461083413	967775	4359	967775	0
