# This file was produced by: bcftools roh(1.11+htslib-1.11)
# The command line was:	bcftools roh -G30 --AF-dflt 0.4 -o Aph_californica_65019.roh.txt /u/home/d/dderaad/project-aguillon/eagle.mountain.scrubjays/bwa.mem/vcf/Aph_californica_65019.depth.filtered.vcf.gz
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
# ST	[2]Sample	[3]Chromosome	[4]Position	[5]State (0:HW, 1:AZ)	[6]Quality (fwd-bwd phred score)
RG	Aph_californica_65019	NC_091013.1	270422	311413	40992	138	11.9
RG	Aph_californica_65019	NC_091013.1	909056	992919	83864	71	50.7
RG	Aph_californica_65019	NC_091013.1	1103654	1124999	21346	144	80.4
RG	Aph_californica_65019	NC_091013.1	1370362	1374736	4375	35	32.1
RG	Aph_californica_65019	NC_091013.1	2183678	2193981	10304	60	64.6
RG	Aph_californica_65019	NC_091013.1	2442369	2452428	10060	63	60.1
RG	Aph_californica_65019	NC_091013.1	2778120	2783291	5172	32	26.4
RG	Aph_californica_65019	NC_091013.1	3215172	3223769	8598	69	52.3
RG	Aph_californica_65019	NC_091013.1	4577665	4581831	4167	30	13.6
RG	Aph_californica_65019	NC_091013.1	4599247	4619603	20357	125	78.8
RG	Aph_californica_65019	NC_091013.1	4710984	4716285	5302	32	21.6
RG	Aph_californica_65019	NC_091013.1	6243258	6248169	4912	30	21.2
RG	Aph_californica_65019	NC_091013.1	6416718	6425201	8484	54	46.3
RG	Aph_californica_65019	NC_091013.1	6937057	6947480	10424	96	69.8
RG	Aph_californica_65019	NC_091013.1	7500375	7507086	6712	47	39.2
RG	Aph_californica_65019	NC_091013.1	8642134	8648082	5949	45	30.9
RG	Aph_californica_65019	NC_091013.1	8858995	8885166	26172	175	76.7
RG	Aph_californica_65019	NC_091013.1	9030694	9035853	5160	35	30.4
RG	Aph_californica_65019	NC_091013.1	10016121	10018153	2033	29	12.5
RG	Aph_californica_65019	NC_091013.1	10494629	10506360	11732	75	47.7
RG	Aph_californica_65019	NC_091013.1	10685195	10692252	7058	60	9.1
RG	Aph_californica_65019	NC_091013.1	10735100	10740874	5775	58	63.5
RG	Aph_californica_65019	NC_091013.1	11583147	11602928	19782	170	80.2
RG	Aph_californica_65019	NC_091013.1	11695022	11700528	5507	38	11.6
RG	Aph_californica_65019	NC_091013.1	12579700	12591895	12196	117	32.7
RG	Aph_californica_65019	NC_091013.1	12720189	12727572	7384	54	56.5
RG	Aph_californica_65019	NC_091013.1	12970884	12977144	6261	52	10.1
RG	Aph_californica_65019	NC_091013.1	13311630	13318073	6444	63	20.8
RG	Aph_californica_65019	NC_091013.1	13461954	13472228	10275	76	56.3
RG	Aph_californica_65019	NC_091013.1	13638397	13666654	28258	161	83.6
RG	Aph_californica_65019	NC_091013.1	14402200	14412630	10431	60	61.6
RG	Aph_californica_65019	NC_091013.1	14468379	14472552	4174	52	9.3
RG	Aph_californica_65019	NC_091013.1	14587400	14595192	7793	69	48.3
RG	Aph_californica_65019	NC_091013.1	14790136	14792643	2508	31	10.8
RG	Aph_californica_65019	NC_091013.1	15011821	15048015	36195	204	78.3
RG	Aph_californica_65019	NC_091013.1	15082257	15092923	10667	96	56.2
RG	Aph_californica_65019	NC_091013.1	15171834	15175217	3384	33	27.8
RG	Aph_californica_65019	NC_091013.1	15625333	15635212	9880	70	25.2
RG	Aph_californica_65019	NC_091013.1	16707852	16710285	2434	32	17.5
RG	Aph_californica_65019	NC_091013.1	16791493	16793839	2347	26	9.6
RG	Aph_californica_65019	NC_091013.1	16795966	16801281	5316	41	27.3
RG	Aph_californica_65019	NC_091013.1	17793989	17800241	6253	49	39.6
RG	Aph_californica_65019	NC_091013.1	18214029	18216539	2511	27	10.7
RG	Aph_californica_65019	NC_091013.1	18686457	18702119	15663	52	31.1
RG	Aph_californica_65019	NC_091013.1	19010550	19017662	7113	44	17.5
RG	Aph_californica_65019	NC_091013.1	19032028	19035966	3939	36	13.2
RG	Aph_californica_65019	NC_091013.1	19730116	19737684	7569	50	5.8
RG	Aph_californica_65019	NC_091013.1	19741412	19744118	2707	31	17.7
RG	Aph_californica_65019	NC_091013.1	19754070	19762782	8713	77	43.3
RG	Aph_californica_65019	NC_091013.1	19806758	19809358	2601	29	12.1
RG	Aph_californica_65019	NC_091013.1	20011861	20019730	7870	56	49.4
RG	Aph_californica_65019	NC_091013.1	20434086	20440087	6002	57	27.3
RG	Aph_californica_65019	NC_091013.1	20694224	20698206	3983	42	10.5
RG	Aph_californica_65019	NC_091013.1	20863063	20873231	10169	59	63.5
RG	Aph_californica_65019	NC_091013.1	21057514	21082259	24746	220	64.3
RG	Aph_californica_65019	NC_091013.1	21137525	21145128	7604	56	59.6
RG	Aph_californica_65019	NC_091013.1	21539737	21542348	2612	30	11.0
RG	Aph_californica_65019	NC_091013.1	21623591	21635722	12132	87	61.0
RG	Aph_californica_65019	NC_091013.1	21713575	21719468	5894	60	44.1
RG	Aph_californica_65019	NC_091013.1	21778810	21784027	5218	43	30.6
RG	Aph_californica_65019	NC_091013.1	21815073	21817478	2406	27	6.0
RG	Aph_californica_65019	NC_091013.1	22530291	22541960	11670	91	67.3
RG	Aph_californica_65019	NC_091013.1	22569083	22586490	17408	102	67.4
RG	Aph_californica_65019	NC_091013.1	22648401	22667380	18980	106	33.0
RG	Aph_californica_65019	NC_091013.1	22706750	22711855	5106	52	11.0
RG	Aph_californica_65019	NC_091013.1	22741798	22754526	12729	124	76.9
RG	Aph_californica_65019	NC_091013.1	22953942	22958109	4168	39	22.0
RG	Aph_californica_65019	NC_091013.1	23183972	23209996	26025	158	83.3
RG	Aph_californica_65019	NC_091013.1	23775627	23778654	3028	40	22.9
RG	Aph_californica_65019	NC_091013.1	23837153	23847307	10155	65	25.0
