chrom,ancestry,start,end,n_windows,dist,ages
NC_091013.1,1,443346,7578791,17,7135445,1.96282113321543
NC_091014.1,1,2154167,4844365,4,2690198,5.20616037960639
NC_091015.1,1,135397,1818054,48,1682657,8.32350398262769
NC_091016.1,2,2326276,3895425,1,1569149,8.92560377688566
NC_091017.1,0,808112,1031190,1,223078,62.7834310909026
NC_091018.1,1,80755,2480223,140,2399468,5.83696146016382
NC_091019.1,2,1838953,2621861,1,782908,17.889205680484
NC_091020.1,0,6274569,9414159,37,3139590,4.46096536200471
NC_091021.1,2,1148877,3327399,2,2178522,6.42894689192781
NC_091022.1,1,626921,1992315,11,1365394,10.2575536738087
NC_091023.1,0,41158,6686464,41,6645306,2.10759327574928
NC_091024.1,1,9473542,10718362,11,1244820,11.2511063775456
NC_091025.1,1,109567,566973,16,457406,30.6196294777427
NC_091026.1,0,398330,1992939,9,1594609,8.78309494107732
NC_091027.1,0,804256,1996785,1,1192529,11.7444542152823
NC_091028.1,1,6667697,16550493,14,9882796,1.41717002363464
NC_091029.1,0,68910,2551006,4,2482096,5.64265130796567
NC_091030.1,0,715410,6087339,3,5371929,2.60718305117144
NC_091031.1,1,22132,12453345,214,12431213,1.12664807858222
NC_091032.1,1,2441746,7931975,2,5490229,2.55100511124333
NC_091033.1,0,4773099,12246060,1,7472961,1.87417039121392
NC_091034.1,1,492062,9084248,5,8592186,1.63003946154056
NC_091035.1,2,213852,342119,1,128267,109.191001901474
NC_091036.1,2,244537,409864,1,165327,84.7145489901611
NC_091037.1,1,697797,1705657,1,1007860,13.8963767198781
NC_091039.1,0,2571246,3077158,1,505912,27.6838703982043
NC_091040.1,2,481640,561823,1,80183,174.670469312652
NC_091041.1,0,965261,6820399,102,5855138,2.39201915324564
NC_138418.1,1,521407,584056,12,62649,223.556676737001
NW_027183463.1,0,406599,561250,34,154651,90.5626361348867
NW_027183467.1,1,128596,780644,42,652048,21.4794037262538
NW_027183569.1,0,70449,201135,15,130686,107.169874668261
NW_027183905.1,1,425036,666836,36,241800,57.922259060779
NW_027183949.1,0,883218,914978,28,31760,440.982438315377
NW_027183981.1,1,848094,1031350,81,183256,76.4264320998841
NW_027184063.1,0,907151,909453,10,2302,6084.10175538504
NW_027184064.1,1,144147,1706389,84,1562242,8.96506574582962
NW_027184086.1,0,259851,3733691,557,3473840,4.03173497941654
NW_027184087.1,0,25151,1247311,78,1222160,11.4597125097339
NW_027184088.1,0,1698,632739,1,631041,22.194440996538
NC_091013.1,0,7578791,10457579,4,2878788,4.86510373146489
NC_091014.1,0,4844365,6473970,1,1629605,8.59447672343688
NC_091015.1,0,1818054,8083019,2,6264965,2.2355435730122
NC_091016.1,1,3895425,5544475,2,1649050,8.49313376847055
NC_091017.1,1,1031190,15155148,546,14123958,0.991620213037759
NC_091018.1,2,2480223,6681414,1,4201191,3.3337218519454
NC_091019.1,1,2621861,4209732,1,1587871,8.82036528212705
NC_091020.1,1,9414159,11499413,2,2085254,6.71649700271351
NC_091021.1,0,3327399,3876458,2,549059,25.5083738558085
NC_091022.1,0,1992315,3403045,1,1410730,9.92791125225689
NC_091023.1,1,6686464,7366041,3,679577,20.6092940768984
NC_091024.1,0,10718362,11778904,2,1060542,13.2060797600626
NC_091025.1,0,566973,654670,5,87697,159.704462420566
NC_091026.1,1,1992939,4135978,1,2143039,6.53539307539264
NC_091027.1,1,1996785,5019568,2,3022783,4.63334689949505
NC_091029.1,1,2551006,4308989,2,1757983,7.96685874715305
NC_091030.1,1,6087339,9648910,6,3561571,3.93242258567816
NC_091031.1,0,12453345,12476136,3,22791,614.523375055783
NC_091032.1,0,7931975,9942422,1,2010447,6.96641206701612
NC_091033.1,1,12246060,12384406,3,138346,101.236047597302
NC_091035.1,1,342119,3989950,4,3647831,3.8394328687092
NC_091036.1,0,409864,1974823,1,1564959,8.94950106737388
NC_091037.1,2,1705657,1705659,1,2,7002801.12044818
NC_091039.1,1,3077158,7457841,3,4380683,3.19712753488357
NC_091040.1,1,561823,3149845,1,2588022,5.41170138464679
NC_138418.1,2,584056,705199,13,121143,115.61214631383
NW_027183981.1,2,1031350,1033593,4,2243,6244.13831515665
NC_091013.1,1,10457579,11340033,1,882454,15.8711980917944
NC_091014.1,1,6473970,9698887,3,3224917,4.34293417191709
NC_091015.1,1,8083019,11507261,4,3424242,4.09013213461442
NC_091016.1,0,5544475,5686323,1,141848,98.7366916762757
NC_091017.1,0,15155148,16603102,2,1447954,9.67268451960239
NC_091018.1,1,6681414,15384958,694,8703544,1.6091838268292
NC_091019.1,0,4209732,6630820,33,2421088,5.78483815577805
NC_091020.1,0,11499413,13546192,5,2046779,6.84275255945872
NC_091021.1,1,3876458,4299002,1,422544,33.1459025353487
NC_091022.1,1,3403045,7948394,25,4545349,3.08130404087703
NC_091023.1,0,7366041,14571994,101,7205953,1.94361554133039
NC_091024.1,1,11778904,12681847,1,902943,15.5110591043913
NC_091025.1,1,654670,5724316,5,5069646,2.76263909568762
NC_091026.1,0,4135978,7218175,4,3082197,4.54403214359639
NC_091027.1,0,5019568,6440551,2,1420983,9.85627712709889
NC_091029.1,0,4308989,9676235,1,5367246,2.60945785620714
NC_091030.1,0,9648910,10745596,5,1096686,12.7708407337163
NC_091032.1,1,9942422,11048731,1,1106309,12.6597562172018
NC_091033.1,0,12384406,12848954,3,464548,30.1488807203913
NC_091036.1,1,1974823,2410312,1,435489,32.1606337723717
NC_091040.1,0,3149845,4813409,79,1663564,8.41903421863923
NC_138418.1,1,705199,1195287,2,490088,28.5777293892043
NW_027183981.1,0,1033593,1036487,8,2894,4839.53083652258
NC_091013.1,0,11340033,12754644,3,1414611,9.90067392441905
NC_091014.1,0,9698887,9902378,2,203491,68.8266421654833
NC_091015.1,0,11507261,18652402,27,7145141,1.96015757294312
NC_091016.1,1,5686323,8526931,41,2840608,4.93049454232909
NC_091017.1,1,16603102,22211341,2,5608239,2.49732620897511
NC_091018.1,0,15384958,16265349,1,880391,15.9083887055824
NC_091019.1,1,6630820,6664696,5,33876,413.437307855011
NC_091020.1,1,13546192,14560556,1,1014364,13.8072745492706
NC_091021.1,0,4299002,4899018,2,600016,23.342047946882
NC_091022.1,2,7948394,8182863,1,234469,59.7332792006464
NC_091023.1,1,14571994,16019472,7,1447478,9.6758653609218
NC_091024.1,0,12681847,13974703,1,1292856,10.833072082967
NC_091025.1,2,5724316,5957854,1,233538,59.9714061133364
NC_091026.1,1,7218175,7756366,4,538191,26.023479101093
NC_091027.1,1,6440551,9709687,4,3269136,4.28419075893336
NC_091029.1,1,9676235,14983417,1403,5307182,2.63899037962074
NC_091030.1,1,10745596,10936500,1,190904,73.3646347949564
NC_091032.1,2,11048731,11192329,4,143598,97.533407435315
