pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
pop1	NC_091013.1	1	1000000	0.0031392023927883	600471	1885	600471	0
pop1	NC_091013.1	1000001	2000000	0.0042201040804773	734816	3101	734816	0
pop1	NC_091013.1	2000001	3000000	0.0045911878264819	880600	4043	880600	0
pop1	NC_091013.1	3000001	4000000	0.0040441963330242	897088	3628	897088	0
pop1	NC_091013.1	4000001	5000000	0.0043782809150192	938953	4111	938953	0
pop1	NC_091013.1	5000001	6000000	0.0039091731307835	960817	3756	960817	0
pop1	NC_091013.1	6000001	7000000	0.0036580965975937	956235	3498	956235	0
pop1	NC_091013.1	7000001	8000000	0.0035413904562493	960922	3403	960922	0
pop1	NC_091013.1	8000001	9000000	0.0040098474196795	950909	3813	950909	0
pop1	NC_091013.1	9000001	10000000	0.0038117704970006	958872	3655	958872	0
pop1	NC_091013.1	10000001	11000000	0.0040711299852903	962632	3919	962632	0
pop1	NC_091013.1	11000001	12000000	0.0036307135841743	949951	3449	949951	0
pop1	NC_091013.1	12000001	13000000	0.003800612380361	934060	3550	934060	0
pop1	NC_091013.1	13000001	14000000	0.0030763378691995	962183	2960	962183	0
pop1	NC_091013.1	14000001	15000000	0.0032516456499326	958284	3116	958284	0
pop1	NC_091013.1	15000001	16000000	0.0033178110486509	970218	3219	970218	0
pop1	NC_091013.1	16000001	17000000	0.0030645454222831	958054	2936	958054	0
pop1	NC_091013.1	17000001	18000000	0.0033812071016015	937535	3170	937535	0
pop1	NC_091013.1	18000001	19000000	0.002765073624058	943917	2610	943917	0
pop1	NC_091013.1	19000001	20000000	0.0036031042128603	963336	3471	963336	0
pop1	NC_091013.1	20000001	21000000	0.0026694519405022	961246	2566	961246	0
pop1	NC_091013.1	21000001	22000000	0.0031135580639594	961922	2995	961922	0
pop1	NC_091013.1	22000001	23000000	0.0036877740629358	952336	3512	952336	0
pop1	NC_091013.1	23000001	24000000	0.0032681008772713	951929	3111	951929	0
pop1	NC_091013.1	24000001	25000000	0.0032445367649894	959459	3113	959459	0
pop1	NC_091013.1	25000001	26000000	0.0026729423912218	960739	2568	960739	0
pop1	NC_091013.1	26000001	27000000	0.0029777004726559	948047	2823	948047	0
pop1	NC_091013.1	27000001	28000000	0.0029210755496358	956497	2794	956497	0
pop1	NC_091013.1	28000001	29000000	0.0030928619113211	946696	2928	946696	0
pop1	NC_091013.1	29000001	30000000	0.0020898153909977	964200	2015	964200	0
pop1	NC_091013.1	30000001	31000000	0.002674632457227	969479	2593	969479	0
pop1	NC_091013.1	31000001	32000000	0.0024397608424171	950503	2319	950503	0
pop1	NC_091013.1	32000001	33000000	0.0014194933421217	967951	1374	967951	0
pop1	NC_091013.1	33000001	34000000	0.0026581301626318	944649	2511	944649	0
pop1	NC_091013.1	34000001	35000000	0.002360708835529	963270	2274	963270	0
pop1	NC_091013.1	35000001	36000000	0.0031373684216007	960359	3013	960359	0
pop1	NC_091013.1	36000001	37000000	0.0018456015401013	968248	1787	968248	0
pop1	NC_091013.1	37000001	38000000	0.0030735329441375	957530	2943	957530	0
pop1	NC_091013.1	38000001	39000000	0.0029766549394981	954763	2842	954763	0
pop1	NC_091013.1	39000001	40000000	0.0026112869676261	960063	2507	960063	0
pop1	NC_091013.1	40000001	41000000	0.0029102278005899	966591	2813	966591	0
pop1	NC_091013.1	41000001	42000000	0.0028598685165599	964380	2758	964380	0
pop1	NC_091013.1	42000001	43000000	0.0030485472503864	954225	2909	954225	0
pop1	NC_091013.1	43000001	44000000	0.0030894557748778	960687	2968	960687	0
pop1	NC_091013.1	44000001	45000000	0.0039606730935119	950596	3765	950596	0
pop1	NC_091013.1	45000001	46000000	0.0038055968924157	938092	3570	938092	0
pop1	NC_091013.1	46000001	47000000	0.003643101694825	939035	3421	939035	0
pop1	NC_091013.1	47000001	48000000	0.0038109305136462	946488	3607	946488	0
pop1	NC_091013.1	48000001	49000000	0.0034983842385072	959300	3356	959300	0
pop1	NC_091013.1	49000001	50000000	0.0027261909821087	941240	2566	941240	0
pop1	NC_091013.1	50000001	51000000	0.0032154641294575	963158	3097	963158	0
pop1	NC_091013.1	51000001	52000000	0.0025911936668909	966350	2504	966350	0
pop1	NC_091013.1	52000001	53000000	0.0025736905416873	965151	2484	965151	0
pop1	NC_091013.1	53000001	54000000	0.0029043896196469	959582	2787	959582	0
pop1	NC_091013.1	54000001	55000000	0.0036076055933997	962134	3471	962134	0
pop1	NC_091013.1	55000001	56000000	0.0034383515218666	953073	3277	953073	0
pop1	NC_091013.1	56000001	57000000	0.004274150049636	952938	4073	952938	0
pop1	NC_091013.1	57000001	58000000	0.0034018865006958	77604	264	77604	0
pop1	NC_091013.1	58000001	59000000	0.0030911730083287	451932	1397	451932	0
pop1	NC_091013.1	59000001	60000000	0.0028950930713815	964045	2791	964045	0
pop1	NC_091013.1	60000001	61000000	0.0039311567642371	948067	3727	948067	0
pop1	NC_091013.1	61000001	62000000	0.003410300024956	957687	3266	957687	0
pop1	NC_091013.1	62000001	63000000	0.0028179489298405	968080	2728	968080	0
pop1	NC_091013.1	63000001	64000000	0.0032470031263586	961502	3122	961502	0
pop1	NC_091013.1	64000001	65000000	0.0035079444933551	954120	3347	954120	0
pop1	NC_091013.1	65000001	66000000	0.0030630338460502	949712	2909	949712	0
pop1	NC_091013.1	66000001	67000000	0.0028015113360778	945918	2650	945918	0
pop1	NC_091013.1	67000001	68000000	0.0032325054539352	953440	3082	953440	0
pop1	NC_091013.1	68000001	69000000	0.0033262253020219	959947	3193	959947	0
pop1	NC_091013.1	69000001	70000000	0.003229144421163	969297	3130	969297	0
pop1	NC_091013.1	70000001	71000000	0.0029684072233308	968196	2874	968196	0
pop1	NC_091013.1	71000001	72000000	0.0031239149430761	953291	2978	953291	0
pop1	NC_091013.1	72000001	73000000	0.0031164581047688	960706	2994	960706	0
pop1	NC_091013.1	73000001	74000000	0.0031146089735285	555768	1731	555768	0
pop1	NC_091013.1	74000001	75000000	0.0028054757478452	414190	1162	414190	0
pop1	NC_091013.1	75000001	76000000	0.0029364055454465	951844	2795	951844	0
pop1	NC_091013.1	76000001	77000000	0.0027283943634829	954774	2605	954774	0
pop1	NC_091013.1	77000001	78000000	0.0033655661882478	955857	3217	955857	0
pop1	NC_091013.1	78000001	79000000	0.003111877154497	957300	2979	957300	0
pop1	NC_091013.1	79000001	80000000	0.0037807242577157	957753	3621	957753	0
pop1	NC_091013.1	80000001	81000000	0.0041482026522041	967648	4014	967648	0
pop1	NC_091013.1	81000001	82000000	0.0040510996970894	949125	3845	949125	0
pop1	NC_091013.1	82000001	83000000	0.0035823511039469	954122	3418	954122	0
pop1	NC_091013.1	83000001	84000000	0.0039587154606236	540832	2141	540832	0
pop1	NC_091013.1	84000001	85000000	0.0035135479372219	777277	2731	777277	0
pop1	NC_091013.1	85000001	86000000	0.0034778939058649	952588	3313	952588	0
pop1	NC_091013.1	86000001	87000000	0.0039961735642746	954413	3814	954413	0
pop1	NC_091013.1	87000001	88000000	0.0033424151118564	956494	3197	956494	0
pop1	NC_091013.1	88000001	89000000	0.0037625452966618	958128	3605	958128	0
pop1	NC_091013.1	89000001	90000000	0.003871105562031	964324	3733	964324	0
pop1	NC_091013.1	90000001	91000000	0.0037280417287568	948219	3535	948219	0
pop1	NC_091013.1	91000001	92000000	0.0038665788249557	950194	3674	950194	0
pop1	NC_091013.1	92000001	93000000	0.0034451592839511	823184	2836	823184	0
pop1	NC_091013.1	93000001	94000000	0.0037645521858898	930788	3504	930788	0
pop1	NC_091013.1	94000001	95000000	0.0035762237325534	960790	3436	960790	0
pop1	NC_091013.1	95000001	96000000	0.0039937703513463	947726	3785	947726	0
pop1	NC_091013.1	96000001	97000000	0.0032954373674032	959205	3161	959205	0
pop1	NC_091013.1	97000001	98000000	0.0032142685024736	954494	3068	954494	0
pop1	NC_091013.1	98000001	99000000	0.0036063340034598	955541	3446	955541	0
pop1	NC_091013.1	99000001	100000000	0.0033363777780558	959124	3200	959124	0
pop1	NC_091013.1	100000001	101000000	0.0034425628770948	968755	3335	968755	0
pop1	NC_091013.1	101000001	102000000	0.0038963262017239	958082	3733	958082	0
pop1	NC_091013.1	102000001	103000000	0.003643226233748	952727	3471	952727	0
pop1	NC_091013.1	103000001	104000000	0.003064121813614	947743	2904	947743	0
pop1	NC_091013.1	104000001	105000000	0.0018979058286301	942091	1788	942091	0
pop1	NC_091013.1	105000001	106000000	0.00029922667392065	771990	231	771990	0
pop1	NC_091013.1	106000001	107000000	0.002325825953488	893876	2079	893876	0
pop1	NC_091013.1	107000001	108000000	0.0033161297775543	882957	2928	882957	0
pop1	NC_091013.1	108000001	109000000	0.0037551955789232	897157	3369	897157	0
pop1	NC_091013.1	109000001	110000000	0.0039511067476274	959478	3791	959478	0
pop1	NC_091013.1	110000001	111000000	0.0038431745488189	969511	3726	969511	0
pop1	NC_091013.1	111000001	112000000	0.0047937254772592	970018	4650	970018	0
pop1	NC_091013.1	112000001	113000000	0.0043518952289831	958433	4171	958433	0
pop1	NC_091013.1	113000001	114000000	0.0044617205366949	962409	4294	962409	0
pop1	NC_091013.1	114000001	115000000	0.0040755110011717	960125	3913	960125	0
pop1	NC_091013.1	115000001	116000000	0.0034579519313341	957214	3310	957214	0
pop1	NC_091013.1	116000001	117000000	0.0034013394774221	968736	3295	968736	0
pop1	NC_091013.1	117000001	118000000	0.0040868427936176	955750	3906	955750	0
pop1	NC_091013.1	118000001	119000000	0.0026402991567704	864296	2282	864296	0
pop1	NC_091013.1	119000001	120000000	0.0039552363674792	908416	3593	908416	0
pop1	NC_091013.1	120000001	121000000	0.0035541858290556	209612	745	209612	0
pop1	NC_091014.1	1	1000000	0.00064384117408407	113382	73	113382	0
pop1	NC_091014.1	1000001	2000000	0.0054665729336608	749647	4098	749647	0
pop1	NC_091014.1	2000001	3000000	0.0051648507938214	892959	4612	892959	0
pop1	NC_091014.1	3000001	4000000	0.0046813807015097	931990	4363	931990	0
pop1	NC_091014.1	4000001	5000000	0.0045013500828094	931054	4191	931054	0
pop1	NC_091014.1	5000001	6000000	0.0040204280084975	963579	3874	963579	0
pop1	NC_091014.1	6000001	7000000	0.0034779947773601	973837	3387	973837	0
pop1	NC_091014.1	7000001	8000000	0.0034758213046644	933880	3246	933880	0
pop1	NC_091014.1	8000001	9000000	0.0033687546332106	745973	2513	745973	0
pop1	NC_091014.1	9000001	10000000	0.0031414732828882	822544	2584	822544	0
pop1	NC_091014.1	10000001	11000000	0.0037669308184247	957278	3606	957278	0
pop1	NC_091014.1	11000001	12000000	0.0041243486983302	964031	3976	964031	0
pop1	NC_091014.1	12000001	13000000	0.0037161662090518	959322	3565	959322	0
pop1	NC_091014.1	13000001	14000000	0.0035036626375755	965561	3383	965561	0
pop1	NC_091014.1	14000001	15000000	0.0029482193748409	966346	2849	966346	0
pop1	NC_091014.1	15000001	16000000	0.0020552269905079	950260	1953	950260	0
pop1	NC_091014.1	16000001	17000000	0.0035804420719835	950162	3402	950162	0
pop1	NC_091014.1	17000001	18000000	0.0028303725232938	959591	2716	959591	0
pop1	NC_091014.1	18000001	19000000	0.0035086217515758	957926	3361	957926	0
pop1	NC_091014.1	19000001	20000000	0.0027401849676555	967088	2650	967088	0
pop1	NC_091014.1	20000001	21000000	0.0024309569245392	949009	2307	949009	0
pop1	NC_091014.1	21000001	22000000	0.0024422154382904	963060	2352	963060	0
pop1	NC_091014.1	22000001	23000000	0.0032166665100108	957513	3080	957513	0
pop1	NC_091014.1	23000001	24000000	0.0026415286494469	942636	2490	942636	0
pop1	NC_091014.1	24000001	25000000	0.0026343372013822	964569	2541	964569	0
pop1	NC_091014.1	25000001	26000000	0.0026894050177045	926599	2492	926599	0
pop1	NC_091014.1	26000001	27000000	0.002357438278074	963758	2272	963758	0
pop1	NC_091014.1	27000001	28000000	0.002441337160066	947022	2312	947022	0
pop1	NC_091014.1	28000001	29000000	0.0028740756499259	958917	2756	958917	0
pop1	NC_091014.1	29000001	30000000	0.0030211761976473	965518	2917	965518	0
pop1	NC_091014.1	30000001	31000000	0.0026036350911689	960196	2500	960196	0
pop1	NC_091014.1	31000001	32000000	0.0025356118840043	961898	2439	961898	0
pop1	NC_091014.1	32000001	33000000	0.0030537031637493	956871	2922	956871	0
pop1	NC_091014.1	33000001	34000000	0.0022615347092127	963505	2179	963505	0
pop1	NC_091014.1	34000001	35000000	0.0024349842463739	955653	2327	955653	0
pop1	NC_091014.1	35000001	36000000	0.0022729480533182	957347	2176	957347	0
pop1	NC_091014.1	36000001	37000000	0.002603090653665	968080	2520	968080	0
pop1	NC_091014.1	37000001	38000000	0.002630515843537	967871	2546	967871	0
pop1	NC_091014.1	38000001	39000000	0.003151451117074	931317	2935	931317	0
pop1	NC_091014.1	39000001	40000000	0.0034588872984378	969676	3354	969676	0
pop1	NC_091014.1	40000001	41000000	0.0031375247126699	965092	3028	965092	0
pop1	NC_091014.1	41000001	42000000	0.0028178769894369	952845	2685	952845	0
pop1	NC_091014.1	42000001	43000000	0.0037506968677087	968620	3633	968620	0
pop1	NC_091014.1	43000001	44000000	0.0035457625299093	968762	3435	968762	0
pop1	NC_091014.1	44000001	45000000	0.0033351603462362	966970	3225	966970	0
pop1	NC_091014.1	45000001	46000000	0.0033413220202994	962194	3215	962194	0
pop1	NC_091014.1	46000001	47000000	0.0026464417602748	971871	2572	971871	0
pop1	NC_091014.1	47000001	48000000	0.0019854686713186	556040	1104	556040	0
pop1	NC_091014.1	48000001	49000000	0.0062344139650873	2406	15	2406	0
pop1	NC_091014.1	49000001	50000000	0.001929402304114	716284	1382	716284	0
pop1	NC_091014.1	50000001	51000000	0.0033131902719486	868951	2879	868951	0
pop1	NC_091014.1	51000001	52000000	0.0027629039452239	946106	2614	946106	0
pop1	NC_091014.1	52000001	53000000	0.0026134585781486	954291	2494	954291	0
pop1	NC_091014.1	53000001	54000000	0.0026906709689264	947719	2550	947719	0
pop1	NC_091014.1	54000001	55000000	0.0028288812081161	946664	2678	946664	0
pop1	NC_091014.1	55000001	56000000	0.0022682197065218	733615	1664	733615	0
pop1	NC_091014.1	56000001	57000000	0.0033351141195762	971481	3240	971481	0
pop1	NC_091014.1	57000001	58000000	0.0036779695926491	951612	3500	951612	0
pop1	NC_091014.1	58000001	59000000	0.0037762316873126	441975	1669	441975	0
pop1	NC_091014.1	59000001	60000000	0.003196660997117	663192	2120	663192	0
pop1	NC_091014.1	60000001	61000000	0.0035007179062091	945806	3311	945806	0
pop1	NC_091014.1	61000001	62000000	0.0042609728157676	955885	4073	955885	0
pop1	NC_091014.1	62000001	63000000	0.0038907067029996	950470	3698	950470	0
pop1	NC_091014.1	63000001	64000000	0.0037142577012698	958738	3561	958738	0
pop1	NC_091014.1	64000001	65000000	0.0034734055664513	933090	3241	933090	0
pop1	NC_091014.1	65000001	66000000	0.0039514128800275	950293	3755	950293	0
pop1	NC_091014.1	66000001	67000000	0.0041105352237437	948295	3898	948295	0
pop1	NC_091014.1	67000001	68000000	0.0038130710435342	926812	3534	926812	0
pop1	NC_091014.1	68000001	69000000	0.0036584233152053	721349	2639	721349	0
pop1	NC_091014.1	69000001	70000000	0.0035093150580362	943204	3310	943204	0
pop1	NC_091014.1	70000001	71000000	0.0023380971046582	943930	2207	943930	0
pop1	NC_091014.1	71000001	72000000	0.00082606764849591	853441	705	853441	0
pop1	NC_091014.1	72000001	73000000	0	171	0	171	0
pop1	NC_091014.1	73000001	74000000	0.00053316524182852	761490	406	761490	0
pop1	NC_091014.1	74000001	75000000	0.0016120325738119	948492	1529	948492	0
pop1	NC_091014.1	75000001	76000000	0.0036466249267303	963905	3515	963905	0
pop1	NC_091014.1	76000001	77000000	0.0039540519420059	962304	3805	962304	0
pop1	NC_091014.1	77000001	78000000	0.0043360365746146	958479	4156	958479	0
pop1	NC_091014.1	78000001	79000000	0.0033285707226657	951159	3166	951159	0
pop1	NC_091014.1	79000001	80000000	0.0016389810762165	907271	1487	907271	0
pop1	NC_091014.1	80000001	81000000	0	1349	0	1349	0
pop1	NC_091015.1	1	1000000	0.0025768297653984	762953	1966	762953	0
pop1	NC_091015.1	1000001	2000000	0.0053175316382997	888006	4722	888006	0
pop1	NC_091015.1	2000001	3000000	0.0048597602860646	934614	4542	934614	0
pop1	NC_091015.1	3000001	4000000	0.0045303478983361	938780	4253	938780	0
pop1	NC_091015.1	4000001	5000000	0.004243806583652	956217	4058	956217	0
pop1	NC_091015.1	5000001	6000000	0.0037722126900997	956998	3610	956998	0
pop1	NC_091015.1	6000001	7000000	0.0034536170105592	952914	3291	952914	0
pop1	NC_091015.1	7000001	8000000	0.004332913031265	946938	4103	946938	0
pop1	NC_091015.1	8000001	9000000	0.0033094907654532	964801	3193	964801	0
pop1	NC_091015.1	9000001	10000000	0.0031848371499909	952011	3032	952011	0
pop1	NC_091015.1	10000001	11000000	0.0033058329954405	966776	3196	966776	0
pop1	NC_091015.1	11000001	12000000	0.0037717396720985	963216	3633	963216	0
pop1	NC_091015.1	12000001	13000000	0.0034506782422262	945901	3264	945901	0
pop1	NC_091015.1	13000001	14000000	0.0028110613820639	969029	2724	969029	0
pop1	NC_091015.1	14000001	15000000	0.0027966597466336	965795	2701	965795	0
pop1	NC_091015.1	15000001	16000000	0.0033393125897797	962773	3215	962773	0
pop1	NC_091015.1	16000001	17000000	0.00283090482374	919494	2603	919494	0
pop1	NC_091015.1	17000001	18000000	0.0031339468957072	937476	2938	937476	0
pop1	NC_091015.1	18000001	19000000	0.0025383789934757	956122	2427	956122	0
pop1	NC_091015.1	19000001	20000000	0.0033793438129016	962317	3252	962317	0
pop1	NC_091015.1	20000001	21000000	0.0030303157930204	949736	2878	949736	0
pop1	NC_091015.1	21000001	22000000	0.0026195739811178	961225	2518	961225	0
pop1	NC_091015.1	22000001	23000000	0.0036318322393169	947731	3442	947731	0
pop1	NC_091015.1	23000001	24000000	0.0027217988196452	953781	2596	953781	0
pop1	NC_091015.1	24000001	25000000	0.0035396240521898	765053	2708	765053	0
pop1	NC_091015.1	25000001	26000000	0.0013106159895151	763	1	763	0
pop1	NC_091015.1	26000001	27000000	NA	0	NA	NA	NA
pop1	NC_091015.1	27000001	28000000	NA	0	NA	NA	NA
pop1	NC_091015.1	28000001	29000000	NA	0	NA	NA	NA
pop1	NC_091015.1	29000001	30000000	NA	0	NA	NA	NA
pop1	NC_091015.1	30000001	31000000	NA	0	NA	NA	NA
pop1	NC_091015.1	31000001	32000000	0	61	0	61	0
pop1	NC_091015.1	32000001	33000000	0.018867924528302	53	1	53	0
pop1	NC_091015.1	33000001	34000000	NA	0	NA	NA	NA
pop1	NC_091015.1	34000001	35000000	NA	0	NA	NA	NA
pop1	NC_091015.1	35000001	36000000	NA	0	NA	NA	NA
pop1	NC_091015.1	36000001	37000000	NA	0	NA	NA	NA
pop1	NC_091015.1	37000001	38000000	NA	0	NA	NA	NA
pop1	NC_091015.1	38000001	39000000	NA	0	NA	NA	NA
pop1	NC_091015.1	39000001	40000000	0.0036234179478743	489317	1773	489317	0
pop1	NC_091015.1	40000001	41000000	0.0035620886033	957865	3412	957865	0
pop1	NC_091015.1	41000001	42000000	0.0031294531839392	966303	3024	966303	0
pop1	NC_091015.1	42000001	43000000	0.0027209930735505	955901	2601	955901	0
pop1	NC_091015.1	43000001	44000000	0.0030086409160675	966217	2907	966217	0
pop1	NC_091015.1	44000001	45000000	0.0028241966130384	964168	2723	964168	0
pop1	NC_091015.1	45000001	46000000	0.0028431491161832	958796	2726	958796	0
pop1	NC_091015.1	46000001	47000000	0.0035550739511646	959755	3412	959755	0
pop1	NC_091015.1	47000001	48000000	0.002447726474949	954355	2336	954355	0
pop1	NC_091015.1	48000001	49000000	0.0028524041618133	964099	2750	964099	0
pop1	NC_091015.1	49000001	50000000	0.0021328332680776	970540	2070	970540	0
pop1	NC_091015.1	50000001	51000000	0.0029129849199239	966706	2816	966706	0
pop1	NC_091015.1	51000001	52000000	0.002943894984992	953159	2806	953159	0
pop1	NC_091015.1	52000001	53000000	0.0034701128284195	954724	3313	954724	0
pop1	NC_091015.1	53000001	54000000	0.0033780092224023	960921	3246	960921	0
pop1	NC_091015.1	54000001	55000000	0.0033386194808447	970461	3240	970461	0
pop1	NC_091015.1	55000001	56000000	0.0031955967194074	969459	3098	969459	0
pop1	NC_091015.1	56000001	57000000	0.0033026281550872	960750	3173	960750	0
pop1	NC_091015.1	57000001	58000000	0.0029656015336576	955624	2834	955624	0
pop1	NC_091015.1	58000001	59000000	0.0030288510011111	962081	2914	962081	0
pop1	NC_091015.1	59000001	60000000	0.0035490857223763	953485	3384	953485	0
pop1	NC_091015.1	60000001	61000000	0.003201669224009	918271	2940	918271	0
pop1	NC_091015.1	61000001	62000000	0.002487918438089	956623	2380	956623	0
pop1	NC_091015.1	62000001	63000000	0.0015936346996634	865945	1380	865945	0
pop1	NC_091015.1	63000001	64000000	0.0012002027256576	359106	431	359106	0
pop1	NC_091015.1	64000001	65000000	0.00047082876466833	943018	444	943018	0
pop1	NC_091015.1	65000001	66000000	0.0003610982147463	504018	182	504018	0
pop1	NC_091015.1	66000001	67000000	0	430	0	430	0
pop1	NC_091015.1	67000001	68000000	0.00023030194559084	759872	175	759872	0
pop1	NC_091015.1	68000001	69000000	0.00049944584262797	923023	461	923023	0
pop1	NC_091015.1	69000001	70000000	0.0016570154606295	962574	1595	962574	0
pop1	NC_091015.1	70000001	71000000	0.0018665849083077	962185	1796	962185	0
pop1	NC_091015.1	71000001	72000000	0.0024200147222828	949581	2298	949581	0
pop1	NC_091015.1	72000001	73000000	0.0024390294402034	965958	2356	965958	0
pop1	NC_091015.1	73000001	74000000	0.0026248605542831	960051	2520	960051	0
pop1	NC_091015.1	74000001	75000000	0.002325878806846	961787	2237	961787	0
pop1	NC_091015.1	75000001	76000000	0.002327021600015	959166	2232	959166	0
pop1	NC_091015.1	76000001	77000000	0.0033026955763173	964061	3184	964061	0
pop1	NC_091015.1	77000001	78000000	0.0027032966806199	969187	2620	969187	0
pop1	NC_091015.1	78000001	79000000	0.0025067780510666	953814	2391	953814	0
pop1	NC_091015.1	79000001	80000000	0.0022447971378308	945297	2122	945297	0
pop1	NC_091015.1	80000001	81000000	0.0031089023532348	969474	3014	969474	0
pop1	NC_091015.1	81000001	82000000	0.0029306380360171	944163	2767	944163	0
pop1	NC_091015.1	82000001	83000000	0.0034268828759447	955679	3275	955679	0
pop1	NC_091015.1	83000001	84000000	0.0021941436656785	946155	2076	946155	0
pop1	NC_091015.1	84000001	85000000	0.0038079274221504	946184	3603	946184	0
pop1	NC_091015.1	85000001	86000000	0.0033249191365205	940474	3127	940474	0
pop1	NC_091015.1	86000001	87000000	0.00327582464816	939916	3079	939916	0
pop1	NC_091015.1	87000001	88000000	0.0040373818203563	936498	3781	936498	0
pop1	NC_091015.1	88000001	89000000	0.0038241732488962	938765	3590	938765	0
pop1	NC_091015.1	89000001	90000000	0.0034148615522306	963143	3289	963143	0
pop1	NC_091015.1	90000001	91000000	0.0031410267565263	804514	2527	804514	0
pop1	NC_091015.1	91000001	92000000	0.0036363521179851	947103	3444	947103	0
pop1	NC_091015.1	92000001	93000000	0.003697332779722	960963	3553	960963	0
pop1	NC_091015.1	93000001	94000000	0.0036453044780188	946423	3450	946423	0
pop1	NC_091015.1	94000001	95000000	0.0035483660845094	905769	3214	905769	0
pop1	NC_091015.1	95000001	96000000	0.0026614196273381	949869	2528	949869	0
pop1	NC_091015.1	96000001	97000000	0.0038385285376789	252701	970	252701	0
pop1	NC_091015.1	97000001	98000000	0.0034040154716461	631607	2150	631607	0
pop1	NC_091015.1	98000001	99000000	0.0036431982226247	949715	3460	949715	0
pop1	NC_091015.1	99000001	100000000	0.0034015656350386	961910	3272	961910	0
pop1	NC_091015.1	100000001	101000000	0.0031869225065888	962998	3069	962998	0
pop1	NC_091015.1	101000001	102000000	0.0036222851193008	954646	3458	954646	0
pop1	NC_091015.1	102000001	103000000	0.0030663542874463	963359	2954	963359	0
pop1	NC_091015.1	103000001	104000000	0.003459344840736	954516	3302	954516	0
pop1	NC_091015.1	104000001	105000000	0.0036785035693646	962076	3539	962076	0
pop1	NC_091015.1	105000001	106000000	0.0033962462541402	951050	3230	951050	0
pop1	NC_091015.1	106000001	107000000	0.0035150469317855	956175	3361	956175	0
pop1	NC_091015.1	107000001	108000000	0.0024433478656638	960158	2346	960158	0
pop1	NC_091015.1	108000001	109000000	0.0037686106193563	785170	2959	785170	0
pop1	NC_091015.1	109000001	110000000	0.0040308139870716	952165	3838	952165	0
pop1	NC_091015.1	110000001	111000000	0.0035239166272635	939012	3309	939012	0
pop1	NC_091015.1	111000001	112000000	0.0038722553219976	956032	3702	956032	0
pop1	NC_091015.1	112000001	113000000	0.0035641364718328	945250	3369	945250	0
pop1	NC_091015.1	113000001	114000000	0.0033973441207908	964577	3277	964577	0
pop1	NC_091015.1	114000001	115000000	0.003240057692864	967884	3136	967884	0
pop1	NC_091015.1	115000001	116000000	0.0036114048354278	949492	3429	949492	0
pop1	NC_091015.1	116000001	117000000	0.0037802459049961	952319	3600	952319	0
pop1	NC_091015.1	117000001	118000000	0.0035082443742796	957744	3360	957744	0
pop1	NC_091015.1	118000001	119000000	0.0033483447136012	958384	3209	958384	0
pop1	NC_091015.1	119000001	120000000	0.003275579421039	956472	3133	956472	0
pop1	NC_091015.1	120000001	121000000	0.0030935704208745	966844	2991	966844	0
pop1	NC_091015.1	121000001	122000000	0.0014477874076892	959395	1389	959395	0
pop1	NC_091015.1	122000001	123000000	0.0029842708730675	356536	1064	356536	0
pop1	NC_091015.1	123000001	124000000	0.002943164137194	954415	2809	954415	0
pop1	NC_091015.1	124000001	125000000	0.0022279361430612	946616	2109	946616	0
pop1	NC_091015.1	125000001	126000000	0.0036052369931572	957496	3452	957496	0
pop1	NC_091015.1	126000001	127000000	0.0043820362017394	941115	4124	941115	0
pop1	NC_091015.1	127000001	128000000	0.003876992834635	961570	3728	961570	0
pop1	NC_091015.1	128000001	129000000	0.0036109620723964	959855	3466	959855	0
pop1	NC_091015.1	129000001	130000000	0.0029299900808711	961778	2818	961778	0
pop1	NC_091015.1	130000001	131000000	0.0025713112031563	966433	2485	966433	0
pop1	NC_091015.1	131000001	132000000	0.0033385135446469	954916	3188	954916	0
pop1	NC_091015.1	132000001	133000000	0.0030559795644995	963030	2943	963030	0
pop1	NC_091015.1	133000001	134000000	0.0032461223696693	962379	3124	962379	0
pop1	NC_091015.1	134000001	135000000	0.0029481951051398	957535	2823	957535	0
pop1	NC_091015.1	135000001	136000000	0.0030775650722445	958550	2950	958550	0
pop1	NC_091015.1	136000001	137000000	0.0030675614764361	958416	2940	958416	0
pop1	NC_091015.1	137000001	138000000	0.002798239314792	956673	2677	956673	0
pop1	NC_091015.1	138000001	139000000	0.0032254319662898	956151	3084	956151	0
pop1	NC_091015.1	139000001	140000000	0.0037694190141584	952932	3592	952932	0
pop1	NC_091015.1	140000001	141000000	0.0037490806493836	962636	3609	962636	0
pop1	NC_091015.1	141000001	142000000	0.0034904462693043	933405	3258	933405	0
pop1	NC_091015.1	142000001	143000000	0.0026614165956536	952876	2536	952876	0
pop1	NC_091015.1	143000001	144000000	0.0022081897524602	961421	2123	961421	0
