# This file was produced by: bcftools roh(1.11+htslib-1.11)
# The command line was:	bcftools roh -G30 --AF-dflt 0.4 -o Aph_woodhouseii_334096.roh.txt /u/home/d/dderaad/project-aguillon/eagle.mountain.scrubjays/bwa.mem/vcf/Aph_woodhouseii_334096.depth.filtered.vcf.gz
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
# ST	[2]Sample	[3]Chromosome	[4]Position	[5]State (0:HW, 1:AZ)	[6]Quality (fwd-bwd phred score)
RG	Aph_woodhouseii_334096	NC_091013.1	197856	244479	46624	135	41.1
RG	Aph_woodhouseii_334096	NC_091013.1	2011696	2014194	2499	34	20.0
RG	Aph_woodhouseii_334096	NC_091013.1	3990318	3999064	8747	57	34.5
RG	Aph_woodhouseii_334096	NC_091013.1	4000966	4008468	7503	44	34.3
RG	Aph_woodhouseii_334096	NC_091013.1	4096226	4099539	3314	28	7.8
RG	Aph_woodhouseii_334096	NC_091013.1	4897105	4901729	4625	45	31.6
RG	Aph_woodhouseii_334096	NC_091013.1	6260405	6265942	5538	35	5.8
RG	Aph_woodhouseii_334096	NC_091013.1	6538175	6546841	8667	55	23.8
RG	Aph_woodhouseii_334096	NC_091013.1	6616339	6625220	8882	48	53.5
RG	Aph_woodhouseii_334096	NC_091013.1	7075011	7079393	4383	36	14.6
RG	Aph_woodhouseii_334096	NC_091013.1	7081708	7089227	7520	39	16.1
RG	Aph_woodhouseii_334096	NC_091013.1	8756533	8763919	7387	50	34.4
RG	Aph_woodhouseii_334096	NC_091013.1	8900965	8909624	8660	106	67.6
RG	Aph_woodhouseii_334096	NC_091013.1	8936530	8949381	12852	81	46.1
RG	Aph_woodhouseii_334096	NC_091013.1	8970711	8982707	11997	71	48.9
RG	Aph_woodhouseii_334096	NC_091013.1	9336041	9349695	13655	136	71.0
RG	Aph_woodhouseii_334096	NC_091013.1	9351392	9357117	5726	65	57.0
RG	Aph_woodhouseii_334096	NC_091013.1	10243223	10247543	4321	64	60.7
RG	Aph_woodhouseii_334096	NC_091013.1	10462117	10478445	16329	89	39.2
RG	Aph_woodhouseii_334096	NC_091013.1	10710210	10717130	6921	45	35.0
RG	Aph_woodhouseii_334096	NC_091013.1	11164326	11195204	30879	258	50.4
RG	Aph_woodhouseii_334096	NC_091013.1	11431773	11437048	5276	42	34.9
RG	Aph_woodhouseii_334096	NC_091013.1	11529843	11545629	15787	116	29.1
RG	Aph_woodhouseii_334096	NC_091013.1	11555379	11563609	8231	99	22.1
RG	Aph_woodhouseii_334096	NC_091013.1	11857258	11862070	4813	44	27.6
RG	Aph_woodhouseii_334096	NC_091013.1	12004776	12008859	4084	43	29.4
RG	Aph_woodhouseii_334096	NC_091013.1	12022815	12025223	2409	28	11.8
RG	Aph_woodhouseii_334096	NC_091013.1	12450585	12456967	6383	45	44.2
RG	Aph_woodhouseii_334096	NC_091013.1	12494001	12496856	2856	28	13.3
RG	Aph_woodhouseii_334096	NC_091013.1	12765653	12777279	11627	85	62.2
RG	Aph_woodhouseii_334096	NC_091013.1	12785219	12794739	9521	97	37.0
RG	Aph_woodhouseii_334096	NC_091013.1	12796072	12800766	4695	42	29.2
RG	Aph_woodhouseii_334096	NC_091013.1	12820976	12837412	16437	50	25.3
RG	Aph_woodhouseii_334096	NC_091013.1	12843256	12852915	9660	55	22.9
RG	Aph_woodhouseii_334096	NC_091013.1	12877433	12888112	10680	74	62.3
RG	Aph_woodhouseii_334096	NC_091013.1	12891576	12902679	11104	90	29.5
RG	Aph_woodhouseii_334096	NC_091013.1	12910043	12916897	6855	42	32.2
RG	Aph_woodhouseii_334096	NC_091013.1	12935383	12961736	26354	195	48.3
RG	Aph_woodhouseii_334096	NC_091013.1	12977970	12988945	10976	63	54.7
RG	Aph_woodhouseii_334096	NC_091013.1	12993084	12997321	4238	49	47.9
RG	Aph_woodhouseii_334096	NC_091013.1	13012555	13022766	10212	78	60.4
